epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4330.11,0.59002,0.47934,0.88961,0.79983,0.70218,0.75737,0.52962,0.80406,0.58782,0.91961,0.000173375,0.000173375,0.000173375
89,4382.97,0.61404,0.4783,0.89249,0.74372,0.73844,0.75788,0.53205,0.80183,0.59331,0.92477,0.000161,0.000161,0.000161
90,4435.94,0.58182,0.46846,0.88534,0.76416,0.72534,0.74739,0.52749,0.8011,0.58191,0.93421,0.000148625,0.000148625,0.000148625
91,4485.84,0.57016,0.48893,0.86082,0.73516,0.69747,0.7291,0.51458,0.79436,0.60846,0.9332,0.00013625,0.00013625,0.00013625
92,4536.47,0.5646,0.45532,0.86484,0.71378,0.72903,0.74212,0.52456,0.79784,0.62005,0.9326,0.000123875,0.000123875,0.000123875
93,4588.33,0.5529,0.46254,0.84893,0.80781,0.72604,0.75577,0.52328,0.79902,0.611,0.93748,0.0001115,0.0001115,0.0001115
94,4639.02,0.54961,0.43809,0.84648,0.81472,0.69588,0.75036,0.52569,0.78935,0.59681,0.93461,9.9125e-05,9.9125e-05,9.9125e-05
95,4688.14,0.55302,0.43575,0.85293,0.73507,0.76397,0.74804,0.52349,0.78726,0.59509,0.93343,8.675e-05,8.675e-05,8.675e-05
96,4739.24,0.56391,0.45133,0.85591,0.79687,0.71698,0.74923,0.51941,0.79303,0.59322,0.93435,7.4375e-05,7.4375e-05,7.4375e-05
97,4785.91,0.54231,0.42558,0.84614,0.79917,0.70069,0.74915,0.52137,0.79853,0.5884,0.93641,6.2e-05,6.2e-05,6.2e-05
98,4830.71,0.54239,0.42847,0.84035,0.73357,0.76095,0.74932,0.52206,0.79829,0.58345,0.93759,4.9625e-05,4.9625e-05,4.9625e-05
99,4877.39,0.5531,0.42712,0.84388,0.78784,0.71728,0.75021,0.5232,0.79383,0.57922,0.93643,3.725e-05,3.725e-05,3.725e-05
100,4921.15,0.53568,0.42416,0.84704,0.78469,0.72058,0.75017,0.52409,0.79065,0.57504,0.93433,2.4875e-05,2.4875e-05,2.4875e-05
